Kingdom;Phylum;Class;Order;Family;Genus;Species
06826449e0b9c16a2d2005f6882d9e7d;NA;Actinomycetota;Thermoleophilia;Gaiellales;NA;NA;NA
06a6889300e3b17977cef0f59cd714e0;NA;Planctomycetota;OM190;NA;NA;NA;NA
06a797933fa88003513c722ba6885b56;NA;Acidobacteriota;Vicinamibacteria;Vicinamibacterales;NA;NA;NA
06bf3579dc91e579c26fc03856bd3f95;NA;Pseudomonadota;Gammaproteobacteria;Burkholderiales;SC-I-84;NA;NA
06c622fa917efdeb76f9ee1928485fdb;NA;Planctomycetota;Phycisphaerae;Phycisphaerales;Phycisphaeraceae;SM1A02;NA
06d9129a476633f586ca5a38106e811d;NA;Actinomycetota;Actinobacteria;Propionibacteriales;Nocardioidaceae;Nocardioides;NA
06dae3bcfc5cfe6f483ddb80803844c4;NA;Pseudomonadota;Alphaproteobacteria;Acetobacterales;Acetobacteraceae;Craurococcus;NA
06dccccdb9d9ade33a3a40ce709d348b;NA;Pseudomonadota;Gammaproteobacteria;Pseudomonadales;Moraxellaceae;NA;NA
06fd472bb4602797192cf18a9facf833;NA;NA;NA;SJA-28;NA;NA;NA
0705f7e5b68a94cf25ae80c8a3bccded;NA;Acidobacteriota;Acidobacteriae;Solibacterales;Solibacteraceae;Candidatus Solibacter;NA
07083dabdc51fe3efdaece87f4dc2ab4;NA;Chloroflexota;SHA-26;NA;NA;NA;NA
07229356cb588b93a4649df49b3a39dd;NA;Armatimonadota;Fimbriimonadia;Fimbriimonadales;Fimbriimonadaceae;NA;NA
07335a3845d971eb5cfa10bed53a9fb9;NA;Verrucomicrobiota;Verrucomicrobiia;Pedosphaerales;Pedosphaeraceae;NA;NA
07389f9cf29603ac324c4a632e0c6c08;NA;Actinomycetota;Actinobacteria;Propionibacteriales;Nocardioidaceae;Aeromicrobium;NA
0740b9207dd5d723ff6cdad0ca5cfdb2;NA;Verrucomicrobiota;Verrucomicrobiia;Pedosphaerales;Pedosphaeraceae;NA;NA
0743626b4928eabb1edc81f89a7b367a;NA;Bacteroidota;Bacteroidia;Chitinophagales;NA;NA;NA
0743ed3860862391217c1027cac11d05;NA;Pseudomonadota;Gammaproteobacteria;Burkholderiales;Methylophilaceae;NA;NA
07441618421e532ceb849c7c38e74322;NA;Acidobacteriota;Acidobacteriae;Terriglobales;Acidobacteriaceae (Subgroup 1);Occallatibacter;NA
074c4d1fc8bb7980951aad14d9112259;NA;Actinomycetota;Actinobacteria;Propionibacteriales;Nocardioidaceae;Nocardioides;NA
074cee64387b88741dd7582b530556df;NA;Latescibacterota;NA;NA;NA;NA;NA
07588186f8e54a8d638010d6ee3a2262;NA;Acidobacteriota;Subgroup 25;NA;NA;NA;NA
075c2580888dccbdba5657d66784d0dd;NA;Acidobacteriota;Vicinamibacteria;Vicinamibacterales;NA;NA;NA
075e89c5b56f5f9d63ef09a954d660c3;NA;Gemmatimonadota;Gemmatimonadia;Gemmatimonadales;Gemmatimonadaceae;Gemmatimonas;NA
076328f5b5e8df78a584191833b2527f;NA;Bacteroidota;Bacteroidia;Cytophagales;Hymenobacteraceae;Hymenobacter;NA
07873c94736c2020a03fc9c5afffc4da;NA;Planctomycetota;Planctomycetes;Gemmatales;Gemmataceae;Fimbriiglobus;NA
078e12031ec71563aa50aaff2a06d4bc;NA;Planctomycetota;Planctomycetes;Gemmatales;Gemmataceae;NA;NA
079a3b11de16f0009b020f4ed4db4d88;NA;Actinomycetota;Thermoleophilia;Gaiellales;NA;NA;NA
07a144d66945a858a9c5a96165c7d2ba;NA;Pseudomonadota;Gammaproteobacteria;Burkholderiales;TRA3-20;NA;NA
07ad7631a0f1289d5aaee08f285820c0;NA;Acidobacteriota;Acidobacteriae;Bryobacterales;Bryobacteraceae;Bryobacter;NA
07c4a4e63f3333c50ab8e16aab01e334;NA;Verrucomicrobiota;Verrucomicrobiia;Methylacidiphilales;Methylacidiphilaceae;NA;NA
07d2706d1df9f921a5543d59c17ca327;NA;Bacteroidota;Bacteroidia;Sphingobacteriales;env.OPS 17;NA;NA
07d438a314439d38b12098bdbe97c3c8;NA;Acidobacteriota;Vicinamibacteria;Vicinamibacterales;Vicinamibacteraceae;NA;NA
07def6bc240171a027dee098e00eb204;NA;Actinomycetota;Actinobacteria;Micromonosporales;Micromonosporaceae;Micromonospora;NA
07e2742c98292c4dd3d5510ad7672962;NA;Myxococcota;Polyangiia;Haliangiales;Haliangiaceae;NA;NA
07eb19a05400bf745e4a70a513cabcb1;NA;Acidobacteriota;Acidobacteriae;Bryobacterales;Bryobacteraceae;Bryobacter;NA
07ecc2bcca3768ef316db6ca23f603db;NA;Chloroflexota;Chloroflexia;Thermomicrobiales;JG30-KF-CM45;NA;NA
080086361a7384d3e2f082046f1c9794;NA;Myxococcota;Polyangiia;Polyangiales;BIrii41;NA;NA
0800ac9a7cd90ba1b6903e5b952abc76;NA;Verrucomicrobiota;Verrucomicrobiia;Pedosphaerales;Pedosphaeraceae;DEV008;NA
0805d9352c13aca3cb421b22d635b2ed;NA;Chloroflexota;Chloroflexia;Chloroflexales;Roseiflexaceae;NA;NA
